desc,link
Slim Fit City Shorts with Insert Pockets,https://www.ajio.com/dnmx-slim-fit-city-shorts-with-insert-pockets/p/441144222_maroon
Sublimate Colourblock City Shorts,https://www.ajio.com/teamspirit-sublimate-colourblock-city-shorts/p/441142477_jetblack
Mid-Rise Slim Fit Shorts,https://www.ajio.com/the-indian-garage-co-mid-rise-slim-fit-shorts/p/460990411_blue
City Shorts with Insert Pockets,https://www.ajio.com/netplay-city-shorts-with-insert-pockets/p/443001114_mediumblue
New Core Varsity Logo Print Knit Shorts,https://www.ajio.com/teamspirit-new-core-varsity-logo-print-knit-shorts/p/441137105_jetblack
Ribbed Shorts with Insert Pockets,https://www.ajio.com/teamspirit-ribbed-shorts-with-insert-pockets/p/441143524_charcoal
Slim Fit Shorts with Pockets,https://www.ajio.com/ivoc-slim-fit-shorts-with-pockets/p/461152806_white
Mid-Rise Slim Fit Shorts,https://www.ajio.com/the-indian-garage-co-mid-rise-slim-fit-shorts/p/460990408_khaki
Flat-Front Shorts with Insert Pockets,https://www.ajio.com/netplay-flat-front-shorts-with-insert-pockets/p/441140112_ltgreen
Shorts with Logo Print Waist Band,https://www.ajio.com/performax-shorts-with-logo-print-waist-band/p/441147796_jetblack
Shorts with Contrast Side Taping,https://www.ajio.com/the-indian-garage-co-shorts-with-contrast-side-taping/p/460660049_burgundy
Shorts with Elasticated Waist,https://www.ajio.com/dnmx-shorts-with-elasticated-waist/p/441000455_charcoal
Printed Shorts with Elasticated Drawstring Waist,https://www.ajio.com/performax-printed-shorts-with-elasticated-drawstring-waist/p/441147944_darkblue
Typographic Print Shorts with Slip Pockets,https://www.ajio.com/teamspirit-typographic-print-shorts-with-slip-pockets/p/441113672_maroon
Shorts with Logo Waist Brand,https://www.ajio.com/performax-shorts-with-logo-waist-brand/p/441147961_ltgrey
Ribbed Mid-Rise Shorts,https://www.ajio.com/teamspirit-ribbed-mid-rise-shorts/p/441142484_black
Tennis Shorts with Elasticated Waistband,https://www.ajio.com/performax-tennis-shorts-with-elasticated-waistband/p/441148167_darkblue
Mid-Wash Slim Fit Denim Shorts,https://www.ajio.com/dnmx-mid-wash-slim-fit-denim-shorts/p/441144255_grey
